Username;Number of Review;Number of Product;Response Chat (Percentage);Response Chat (Category);Length of Stay;Number of Follower;Product Category;Address;Rating;Status
wilazasale;1,3RB;103;90%;hitungan jam;3 tahun lalu;2,4RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - KALIDERES, DKI JAKARTA, ID;4.8 (1,3RB Penilaian);Regular
braddajay;408;31;97%;hitungan jam;16 bulan lalu;1,1RB;Komputer & Aksesoris;KOTA JAKARTA TIMUR - CIRACAS, DKI JAKARTA, ID;4.6 (408 Penilaian);Regular
computerindojepara;689;203;96%;hitungan jam;3 tahun lalu;7,5RB;Komputer & Aksesoris;KAB. JEPARA - TAHUNAN, JAWA TENGAH, ID;4.7 (689 Penilaian);Regular
infinitytechnology;2,9RB;84;96%;hitungan jam;4 tahun lalu;15,3RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (2,9RB Penilaian);Regular
sultan_game;14;99;91%;hitungan jam;3 bulan lalu;48;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;48;Regular
hp.officialshop;46,9RB;415;100%;hitungan menit;31 bulan lalu;133,5RB;Komputer & Aksesoris;KOTA JAKARTA UTARA;4.9 (46,9RB Penilaian);Shopee Mall
juallaptop;164;8;97%;hitungan menit;8 bulan lalu;408;Komputer & Aksesoris;KOTA SURABAYA - SUKOLILO, JAWA TIMUR, ID;4.8 (164 Penilaian);Regular
indahsd;352;78;92%;hitungan jam;5 tahun lalu;542;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;4.5 (352 Penilaian);Regular
intelofficial;1,7RB;153;100%;hitungan jam;24 bulan lalu;15,4RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.9 (1,7RB Penilaian);Shopee Mall
svconline;1,4RB;252;98%;hitungan jam;22 bulan lalu;12,1RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMBORA, DKI JAKARTA, ID;4.8 (1,4RB Penilaian);Regular
laptopproject20;152;49;95%;hitungan jam;16 bulan lalu;434;Komputer & Aksesoris;KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID;4.8 (152 Penilaian);Star
abriankun;2,5RB;99;94%;hitungan jam;29 bulan lalu;7,7RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.7 (2,5RB Penilaian);Regular
cyber.elektronik;57;30;97%;hitungan menit;4 tahun lalu;199;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;4.9 (57 Penilaian);Regular
jameslaptopstore;229;7;98%;hitungan jam;10 bulan lalu;773;Komputer & Aksesoris;KOTA SEMARANG - NGALIYAN, JAWA TENGAH, ID;4.8 (229 Penilaian);Regular
