No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Betoambari;7472010;Betoambari;74.72.01
2;Murhum;7472011;Murhum;74.72.06
3;Batupoaro;7472012;Batupoaro;74.72.08
4;Wolio;7472020;Wolio;74.72.02
5;Kokalukuna;7472021;Kokalukuna;74.72.05
6;Sorawolio;7472030;Sorawolio;74.72.03
7;Bungi;7472040;Bungi;74.72.04
8;Lea-lea;7472041;Lea-lea;74.72.07
