No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sarudu;7605010;Sarudu;76.01.04
2;Dapurang;7605011;Dapurang;76.01.05
3;Duripoku;7605012;Duripoku;76.01.06
4;Baras;7605020;Baras;76.01.03
5;Bulu Taba;7605021;Bulu Taba;76.01.07
6;Lariang;7605022;Lariang;76.01.12
7;Pasangkayu;7605030;Pasangkayu;76.01.02
8;Tikke Raya;7605031;Tikke Raya;76.01.08
9;Pedongga;7605032;Pedongga;76.01.09
10;Bambalamotu;7605040;Bambalamotu;76.01.01
11;Bambaira;7605041;Bambaira;76.01.10
12;Sarjo;7605042;Sarjo;76.01.11
