No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Salem;3329010;Salem;33.29.01
2;Bantarkawung;3329020;Bantarkawung;33.29.02
3;Bumiayu;3329030;Bumiayu;33.29.03
4;Paguyangan;3329040;Paguyangan;33.29.04
5;Sirampog;3329050;Sirampog;33.29.05
6;Tonjong;3329060;Tonjong;33.29.06
7;Larangan;3329070;Larangan;33.29.15
8;Ketanggungan;3329080;Ketanggungan;33.29.16
9;Banjarharjo;3329090;Banjarharjo;33.29.17
10;Losari;3329100;Losari;33.29.12
11;Tanjung;3329110;Tanjung;33.29.13
12;Kersana;3329120;Kersana;33.29.11
13;Bulakamba;3329130;Bulakamba;33.29.14
14;Wanasari;3329140;Wanasari;33.29.08
15;Songgom;3329150;Songgom;33.29.10
16;Jatibarang;3329160;Jatibarang;33.29.07
17;Brebes;3329170;Brebes;33.29.09
