No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pulau Panggang;3101020001;Pulau Panggang;31.01.01.1001
2;Pulau Kelapa;3101020002;Pulau Kelapa;31.01.01.1002
3;Pulau Harapan;3101020003;Pulau Harapan;31.01.01.1003
