No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pesanggaran;3510010;Pesanggaran;35.10.01
2;Siliragung;3510011;Siliragung;35.10.22
3;Bangorejo;3510020;Bangorejo;35.10.02
4;Purwoharjo;3510030;Purwoharjo;35.10.03
5;Tegaldlimo;3510040;Tegaldlimo;35.10.04
6;Muncar;3510050;Muncar;35.10.05
7;Cluring;3510060;Cluring;35.10.06
8;Gambiran;3510070;Gambiran;35.10.07
9;Tegalsari;3510071;Tegalsari;35.10.23
10;Glenmore;3510080;Glenmore;35.10.10
11;Kalibaru;3510090;Kalibaru;35.10.11
12;Genteng;3510100;Genteng;35.10.09
13;Srono;3510110;Srono;35.10.08
14;Rogojampi;3510120;Rogojampi;35.10.13
15;Blimbingsari;3510121;Blimbingsari;35.10.25
16;Kabat;3510130;Kabat;35.10.14
17;Singojuruh;3510140;Singojuruh;35.10.12
18;Sempu;3510150;Sempu;35.10.20
19;Songgon;3510160;Songgon;35.10.19
20;Glagah;3510170;Glagah;35.10.15
21;Licin;3510171;Licin;35.10.24
22;Banyuwangi;3510180;Banyuwangi;35.10.16
23;Giri;3510190;Giri;35.10.17
24;Kalipuro;3510200;Kalipuro;35.10.21
25;Wongsorejo;3510210;Wongsorejo;35.10.18
