No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tanjung Mutiara;1307010;Tanjung Mutiara;13.06.01
2;Lubuk Basung;1307020;Lubuk Basung;13.06.02
3;Ampek Nagari;1307021;Ampek Nagari;13.06.13
4;Tanjung Raya;1307030;Tanjung Raya;13.06.03
5;Matur;1307040;Matur;13.06.04
6;Iv Koto;1307050;Iv Koto;13.06.05
7;Malalak;1307051;Malalak;13.06.16
8;Banuhampu;1307061;Banuhampu;13.06.06
9;Sungai Pua;1307062;Sungai Pua;13.06.12
10;Ampek Angkek;1307070;Ampek Angkek;13.06.07
11;Canduang;1307071;Candung;13.06.14
12;Baso;1307080;Baso;13.06.08
13;Tilatang Kamang;1307090;Tilatang Kamang;13.06.09
14;Kamang Magek;1307091;Kamang Magek;13.06.15
15;Palembayan;1307100;Pelembayan;13.06.11
16;Palupuh;1307110;Palupuh;13.06.10
