No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pagai Selatan;1301011;Pagai Selatan;13.09.10
2;Sikakap;1301012;Sikakap;13.09.09
3;Pagai Utara;1301013;Pagai Utara;13.09.01
4;Sipora Selatan;1301021;Sipora Selatan;13.09.02
5;Sipora Utara;1301022;Sipora Utara;13.09.08
6;Siberut Selatan;1301030;Siberut Selatan;13.09.03
7;Seberut Barat Daya;1301031;Siberut Barat Daya;13.09.06
8;Siberut Tengah;1301032;Siberut Tengah;13.09.07
9;Siberut Utara;1301040;Siberut Utara;13.09.04
10;Siberut Barat;1301041;Siberut Barat;13.09.05
