No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Mimika Barat;9412010;Mimika Barat;91.09.04
2;Mimika Barat Jauh;9412011;Mimika Barat Jauh;91.09.11
3;Mimika Barat Tengah;9412012;Mimika Barat Tengah;91.09.12
4;Amar;9412013;Amar;91.09.17
5;Mimika Timur;9412020;Mimika Timur;91.09.03
6;Mimika Tengah;9412021;Mimika Tengah;91.09.08
7;Mimika Timur Jauh;9412022;Mimika Timur Jauh;91.09.07
8;Mimika Baru;9412030;Mimika Baru;91.09.01
9;Kuala Kencana;9412031;Kuala Kencana;91.09.09
10;Tembagapura;9412032;Tembagapura;91.09.10
11;Wania;9412033;Wania;91.09.16
12;Iwaka;9412034;Iwaka;91.09.15
13;Kwamki Narama;9412035;Kwamki Narama;91.09.13
14;Agimuga;9412040;Agimuga;91.09.02
15;Jila;9412041;Jila;91.09.06
16;Jita;9412042;Jita;91.09.05
17;Alama;9412043;Alama;91.09.18
18;Hoya;9412044;Hoya;91.09.14
