No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ayah;3305010;Ayah;33.05.01
2;Buayan;3305020;Buayan;33.05.02
3;Puring;3305030;Puring;33.05.03
4;Petanahan;3305040;Petanahan;33.05.04
5;Klirong;3305050;Klirong;33.05.05
6;Buluspesantren;3305060;Buluspesantren;33.05.06
7;Ambal;3305070;Ambal;33.05.07
8;Mirit;3305080;Mirit;33.05.08
9;Bonorowo;3305081;Bonorowo;33.05.23
10;Prembun;3305090;Prembun;33.05.09
11;Padureso;3305091;Padureso;33.05.24
12;Kutowinangun;3305100;Kutowinangun;33.05.10
13;Alian;3305110;Alian;33.05.11
14;Poncowarno;3305111;Poncowarno;33.05.25
15;Kebumen;3305120;Kebumen;33.05.12
16;Pejagoan;3305130;Pejagoan;33.05.13
17;Sruweng;3305140;Sruweng;33.05.14
18;Adimulyo;3305150;Adimulyo;33.05.15
19;Kuwarasan;3305160;Kuwarasan;33.05.16
20;Rowokele;3305170;Rowokele;33.05.17
21;Sempor;3305180;Sempor;33.05.18
22;Gombong;3305190;Gombong;33.05.19
23;Karanganyar;3305200;Karanganyar;33.05.20
24;Karanggayam;3305210;Karanggayam;33.05.21
25;Sadang;3305220;Sadang;33.05.22
26;Karangsambung;3305221;Karangsambung;33.05.26
