No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pahandut;6271010;Pahandut;62.71.01
2;Sabangau;6271011;Sabangau;62.71.04
3;Jekan Raya;6271012;Jekan Raya;62.71.03
4;Bukit Batu;6271020;Bukit Batu;62.71.02
5;Rakumpit;6271021;Rakumpit;62.71.05
