No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tojo Barat;7209010;Tojo Barat;72.09.07
2;Tojo;7209020;Tojo;72.09.08
3;Ulubongka;7209030;Ulubongka;72.09.06
4;Ampana Tete;7209040;Ampana Tete;72.09.04
5;Ampana Kota;7209050;Ampana Kota;72.09.05
6;Ratolindo;7209051;Ratolindo;72.09.10
7;Una - Una;7209060;Una Una;72.09.01
8;Batudaka;7209061;Batudaka;72.09.11
9;Togean;7209070;Togean;72.09.02
10;Walea Kepulauan;7209080;Walea Kepulauan;72.09.03
11;Walea Besar;7209081;Walea Besar;72.09.09
12;Talatako;7209082;Talatako;72.09.12
