No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Boalemo;7501;Kab. Boalemo;75.02
2;Gorontalo;7502;Kab. Gorontalo;75.01
3;Pohuwato;7503;Kab. Pahuwato;75.04
4;Bone Bolango;7504;Kab. Bone Bolango;75.03
5;Gorontalo Utara;7505;Kab. Gorontalo Utara;75.05
6;Gorontalo;7571;Kota Gorontalo;75.71
