No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Minas;1405010;Minas;14.08.03
2;Sungai Mandau;1405011;Sungai Mandau;14.08.05
3;Kandis;1405012;Kandis;14.08.10
4;Siak;1405020;Siak;14.08.01
5;Kerinci Kanan;1405021;Kerinci Kanan;14.08.07
6;Tualang;1405022;Tualang;14.08.04
7;Dayun;1405023;Dayun;14.08.06
8;Lubuk Dalam;1405024;Lubuk Dalam;14.08.11
9;Koto Gasib;1405025;Koto Gasib;14.08.09
10;Mempura;1405026;Mempura;14.08.13
11;Sungai Apit;1405030;Sungai Apit;14.08.02
12;Bunga Raya;1405031;Bunga Raya;14.08.08
13;Sabak Auh;1405032;Sabak Auh;14.08.12
14;Pusako;1405033;Pusako;14.08.14
