No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Margasari;3328010;Margasari;33.28.01
2;Bumijawa;3328020;Bumijawa;33.28.02
3;Bojong;3328030;Bojong;33.28.03
4;Balapulang;3328040;Balapulang;33.28.04
5;Pagerbarang;3328050;Pagerbarang;33.28.05
6;Lebaksiu;3328060;Lebaksiu;33.28.06
7;Jatinegara;3328070;Jatinegara;33.28.07
8;Kedung Banteng;3328080;Kedungbanteng;33.28.08
9;Pangkah;3328090;Pangkah;33.28.09
10;Slawi;3328100;Slawi;33.28.10
11;Dukuhwaru;3328110;Dukuhwaru;33.28.18
12;Adiwerna;3328120;Adiwerna;33.28.11
13;Dukuhturi;3328130;Dukuhturi;33.28.13
14;Talang;3328140;Talang;33.28.12
15;Tarub;3328150;Tarub;33.28.14
16;Kramat;3328160;Kramat;33.28.15
17;Suradadi;3328170;Suradadi;33.28.16
18;Warureja;3328180;Warureja;33.28.17
