No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Suku Tengah Lakitan Ulu;1605030;Stl Ulu Terawas;16.05.10
2;Selangit;1605031;Selangit;16.05.11
3;Sumber Harta;1605032;Sumber Harta;16.05.19
4;Tugumulyo;1605040;Tugumulyo;16.05.01
5;Purwodadi;1605041;Purwodadi;16.05.13
6;Muara Beliti;1605050;Muara Beliti;16.05.09
7;Tiang Pumpung Kepungut;1605051;Tiang Pumpung Kepungut;16.05.18
8;Jayaloka;1605060;Jayaloka;16.05.08
9;Suka Karya;1605061;Suka Karya;16.05.21
10;Muara Kelingi;1605070;Muara Kelingi;16.05.03
11;Bulang Tengah Suku Ulu;1605071;Bts. Ulu;16.05.14
12;Tuah Negeri;1605072;Tuah Negeri;16.05.20
13;Muara Lakitan;1605080;Muara Lakitan;16.05.02
14;Megang Sakti;1605090;Megang Sakti;16.05.12
