No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kaureh;9403080;Kaureh;91.03.11
2;Airu;9403081;Airu;91.03.16
3;Yapsi;9403082;Yapsi;91.03.15
4;Kemtuk;9403140;Kemtuk;91.03.05
5;Kemtuk Gresi;9403150;Kemtuk Gresi;91.03.06
6;Gresi Selatan;9403151;Gresi Selatan;91.03.18
7;Nimboran;9403160;Nimboran;91.03.07
8;Nimboran Timur _ Namblong;9403161;Nambluong;91.03.14
9;Nimbokrang;9403170;Nimbokrang;91.03.08
10;Unurum Guay;9403180;Unurum Guay;91.03.09
11;Demta;9403200;Demta;91.03.10
12;Yokari;9403201;Yokari;91.03.19
13;Depapre;9403210;Depapre;91.03.03
14;Ravenirara;9403211;Raveni Rara;91.03.17
15;Sentani Barat;9403220;Sentani Barat;91.03.04
16;Waibu;9403221;Waibu;91.03.13
17;Sentani;9403230;Sentani;91.03.01
18;Ebungfau;9403231;Ebungfao;91.03.12
19;Sentani Timur;9403240;Sentani Timur;91.03.02
