No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kelay;6405010;Kelay;64.03.01
2;Talisayan;6405020;Talisayan;64.03.02
3;Tabalar;6405021;Tabalar;64.03.10
4;Biduk Biduk;6405030;Biduk-biduk;64.03.08
5;Pulau Derawan;6405040;Pulau Derawan;64.03.07
6;Maratua;6405041;Maratua;64.03.11
7;Sambaliung;6405050;Sambaliung;64.03.03
8;Tanjung Redeb;6405060;Tanjung Redeb;64.03.05
9;Gunung Tabur;6405070;Gunung Tabur;64.03.06
10;Segah;6405080;Segah;64.03.04
11;Teluk Bayur;6405090;Teluk Bayur;64.03.09
12;Batu Putih;6405100;Batu Putih;64.03.12
13;Biatan;6405110;Biatan;64.03.13
