No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Bogor;3201;Kab. Bogor;32.01
2;Sukabumi;3202;Kab. Sukabumi;32.02
3;Cianjur;3203;Kab. Cianjur;32.03
4;Bandung;3204;Kab. Bandung;32.04
5;Garut;3205;Kab. Garut;32.05
6;Tasikmalaya;3206;Kab. Tasikmalaya;32.06
7;Ciamis;3207;Kab. Ciamis;32.07
8;Ciamis;3207;Kab. Ciamis;32.07
9;Kuningan;3208;Kab. Kuningan;32.08
10;Cirebon;3209;Kab. Cirebon;32.09
11;Majalengka;3210;Kab. Majalengka;32.10
12;Sumedang;3211;Kab. Sumedang;32.11
13;Indramayu;3212;Kab. Indramayu;32.12
14;Subang;3213;Kab. Subang;32.13
15;Purwakarta;3214;Kab. Purwakarta;32.14
16;Karawang;3215;Kab. Karawang;32.15
17;Bekasi;3216;Kab. Bekasi;32.16
18;Bandung Barat;3217;Kab. Bandung Barat;32.17
19;Pangandaran;3218;Kab. Pangandaran;32.18
20;Pangandaran;3218;Kab. Pangandaran;32.18
21;Bogor;3271;Kota Bogor;32.71
22;Sukabumi;3272;Kota Sukabumi;32.72
23;Bandung;3273;Kota Bandung;32.73
24;Cirebon;3274;Kota Cirebon;32.74
25;Bekasi;3275;Kota Bekasi;32.75
26;Depok;3276;Kota Depok;32.76
27;Cimahi;3277;Kota Cimahi;32.77
28;Tasikmalaya;3278;Kota Tasikmalaya;32.78
29;Banjar;3279;Kota Banjar;32.79
