No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kota Baru;1571010;Kota Baru;15.71.07
2;Alam Barajo;1571011;Alam Barajo;15.71.09
3;Jambi Selatan;1571020;Jambi Selatan;15.71.02
4;Paal Merah;1571021;Paal Merah;15.71.11
5;Jelutung;1571030;Jelutung;15.71.08
6;Pasar Jambi;1571040;Pasar Jambi;15.71.04
7;Telanaipura;1571050;Telanaipura;15.71.01
8;Danau Sipin;1571051;Danau Sipin;15.71.10
9;Danau Teluk;1571060;Danau Teluk;15.71.06
10;Pelayangan;1571070;Pelayangan;15.71.05
11;Jambi Timur;1571080;Jambi Timur;15.71.03
