No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tabunganen;6304010;Tabunganen;63.04.01
2;Tamban;6304020;Tamban;63.04.02
3;Mekar Sari;6304030;Mekarsari;63.04.13
4;Anjir Pasar;6304040;Anjir Pasar;63.04.03
5;Anjir Muara;6304050;Anjir Muara;63.04.04
6;Alalak;6304060;Alalak;63.04.05
7;Mandastana;6304070;Mandastana;63.04.06
8;Jejangkit;6304071;Jejangkit;63.04.17
9;Belawang;6304080;Belawang;63.04.08
10;Wanaraya;6304090;Wanaraya;63.04.16
11;Barambai;6304100;Barambai;63.04.14
12;Rantau Badauh;6304110;Rantau Badauh;63.04.07
13;Cerbon;6304120;Cerbon;63.04.09
14;Bakumpai;6304130;Bakumpai;63.04.10
15;Marabahan;6304140;Marabahan;63.04.15
16;Tabukan;6304150;Tabukan;63.04.12
17;Kuripan;6304160;Kuripan;63.04.11
