No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Datar Lebar I;1704072001;Datar Lebar Ii;17.04.13.2008
2;Tanjung Bunian;1704072002;Tanjung Bunian;17.04.13.2002
3;Sinar Bulan;1704072003;Sinar Bulan;17.04.13.2003
4;Suka Nanti;1704072004;Sukananti;17.04.13.2004
5;Lawang Agung;1704072005;Lawang Agung;17.04.13.2005
6;Tanjung Kurung;1704072006;Tanjung Kurung;17.04.13.2006
7;Senak;1704072007;Senak;17.04.13.2007
8;Datar Lebar Ii;1704072009;Datar Lebar Ii;17.04.13.2008
9;Aur Gading;1704072010;Aur Gading;17.04.13.2009
