No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Langowan Timur;7102091;Langowan Timur;71.02.09
2;Langowan Barat;7102092;Langowan Barat;71.02.10
3;Langowan Selatan;7102093;Langowan Selatan;71.02.17
4;Langowan Utara;7102094;Langowan Utara;71.02.19
5;Tompaso;7102110;Tompaso;71.02.07
6;Tompaso Barat;7102111;Tompaso Barat;71.02.25
7;Kawangkoan;7102120;Kawangkoan;71.02.12
8;Kawangkoan Barat;7102121;Kawangkoan Barat;71.02.22
9;Kawangkoan Utara;7102122;Kawangkoan Utara;71.02.21
10;Sonder;7102130;Sonder;71.02.11
11;Tombariri;7102160;Tombariri;71.02.15
12;Tombariri Timur;7102161;Tombariri Timur;71.02.24
13;Pineleng;7102170;Pineleng;71.02.13
14;Tombulu;7102171;Tombulu;71.02.14
15;Mandolang;7102172;Mandolang;71.02.23
16;Tondano Barat;7102190;Tondano Barat;71.02.01
17;Tondano Selatan;7102191;Tondano Selatan;71.02.18
18;Remboken;7102200;Remboken;71.02.08
19;Kakas;7102210;Kakas;71.02.06
20;Kakas Barat;7102211;Kakas Barat;71.02.20
21;Lembean Timur;7102220;Lembean Timur;71.02.05
22;Eris;7102230;Eris;71.02.03
23;Kombi;7102240;Kombi;71.02.04
24;Tondano Timur;7102250;Tondano Timur;71.02.02
25;Tondano Utara;7102251;Tondano Utara;71.02.16
