No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Batahan;1202010;Batahan;12.13.15
2;Sinunukan;1202011;Sinunukan;12.13.22
3;Batang Natal;1202020;Batang Natal;12.13.13
4;Lingga Bayu;1202021;Lingga Bayu;12.13.14
5;Ranto Baek;1202022;Ranto Baek;12.13.18
6;Kotanopan;1202030;Kotanopan;12.13.08
7;Ulu Pungkut;1202031;Ulu Pungkut;12.13.11
8;Tambangan;1202032;Tambangan;12.13.10
9;Lembah Sorik Marapi;1202033;Lembah Sorik Marapi;12.13.09
10;Puncak Sorik Marapi;1202034;Puncak Sorik Marapi;12.13.20
11;Muara Sipongi;1202040;Muara Sipongi;12.13.12
12;Pakantan;1202041;Pakantan;12.13.21
13;Panyabungan;1202050;Panyabungan;12.13.01
14;Panyabungan Selatan;1202051;Panyabungan Selatan;12.13.04
15;Panyabungan Barat;1202052;Panyabungan Barat;12.13.05
16;Panyabungan Utara;1202053;Panyabungan Utara;12.13.02
17;Panyabungan Timur;1202054;Panyabungan Timur;12.13.03
18;Huta Bargot;1202055;Huta Bargot;12.13.19
19;Natal;1202060;Natal;12.13.16
20;Muara Batang Gadis;1202070;Muara Batang Gadis;12.13.17
21;Siabu;1202080;Siabu;12.13.06
22;Bukit Malintang;1202081;Bukit Malintang;12.13.07
23;Naga Juang;1202082;Naga Juang;12.13.23
