No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Rokan Iv Koto;1407010;Rokan Iv Koto;14.06.02
2;Pendalian Iv Koto;1407011;Pendalian Iv Koto;14.06.16
3;Tandun;1407020;Tandun;14.06.11
4;Kabun;1407021;Kabun;14.06.12
5;Ujung Batu;1407022;Ujung Batu;14.06.01
6;Rambah Samo;1407030;Rambah Samo;14.06.07
7;Rambah;1407040;Rambah;14.06.03
8;Rambah Hilir;1407041;Rambah Hilir;14.06.08
9;Bangun Purba;1407042;Bangun Purba;14.06.10
10;Tambusai;1407050;Tambusai;14.06.04
11;Tambusai Utara;1407051;Tambusai Utara;14.06.09
12;Kepenuhan;1407060;Kepenuhan;14.06.05
13;Kepenuhan Hulu;1407061;Kepenuhan Hulu;14.06.15
14;Kunto Darussalam;1407070;Kunto Darussalam;14.06.06
15;Pagaran Tapah Darussalam;1407071;Pagaran Tapah Darussalam;14.06.14
16;Bonai Darussalam;1407072;Bonai Darussalam;14.06.13
