No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Nambioman Bapai;9414010;Mambioman Bapai;91.17.02
2;Minyamur;9414011;Minyamur;91.17.09
3;Edera;9414020;Edera;91.17.04
4;Venaha;9414021;Venaha;91.17.10
5;Syahcame;9414022;Syahcame;91.17.11
6;Bamgi;9414023;Bamgi;91.17.13
7;Yakomi;9414024;Yakomi;91.17.12
8;Obaa;9414030;Obaa;91.17.01
9;Passue;9414031;Passue;91.17.08
10;Haju;9414040;Haju;91.17.05
11;Assue;9414050;Assue;91.17.06
12;Citakmitak;9414060;Citak-mitak;91.17.03
13;Kaibar;9414061;Kaibar;91.17.07
14;Passue Bawah;9414062;Passue Bawah;91.17.14
15;Ti-zain;9414063;Ti Zain;91.17.15
