No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Banjarsari;3207100;Banjarsari;32.07.18
2;Banjaranyar;3207101;Banjaranyar;32.07.37
3;Lakbok;3207110;Lakbok;32.07.17
4;Purwadadi;3207111;Purwadadi;32.07.35
5;Pamarican;3207120;Pamarican;32.07.19
6;Cidolog;3207130;Cidolog;32.07.05
7;Cimaragas;3207140;Cimaragas;32.07.29
8;Cijeungjing;3207150;Cijeungjing;32.07.03
9;Cisaga;3207160;Cisaga;32.07.30
10;Tambaksari;3207170;Tambaksari;32.07.16
11;Rancah;3207180;Rancah;32.07.15
12;Rajadesa;3207190;Rajadesa;32.07.13
13;Sukadana;3207200;Sukadana;32.07.14
14;Ciamis;3207210;Ciamis;32.07.01
15;Baregbeg;3207211;Baregbeg;32.07.32
16;Cikoneng;3207220;Cikoneng;32.07.02
17;Sindangkasih;3207221;Sindangkasih;32.07.31
18;Cihaurbeuti;3207230;Cihaurbeuti;32.07.06
19;Sadananya;3207240;Sadananya;32.07.04
20;Cipaku;3207250;Cipaku;32.07.11
21;Jatinagara;3207260;Jatinagara;32.07.12
22;Panawangan;3207270;Panawangan;32.07.10
23;Kawali;3207280;Kawali;32.07.09
24;Lumbung;3207281;Lumbung;32.07.34
25;Panjalu;3207290;Panjalu;32.07.08
26;Sukamantri;3207291;Sukamantri;32.07.33
27;Panumbangan;3207300;Panumbangan;32.07.07
