No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Katingan Kuala;6209010;Katingan Kuala;62.06.10
2;Mendawai;6209020;Mendawai;62.06.09
3;Kamipang;6209030;Kamipang;62.06.01
4;Tasik Payawan;6209040;Tasik Payawan;62.06.11
5;Katingan Hilir;6209050;Katingan Hilir;62.06.02
6;Tewang Sangalang Garing;6209060;Tewang Sangalang Garing;62.06.03
7;Pulau Malan;6209070;Pulau Malan;62.06.04
8;Katingan Tengah;6209080;Katingan Tengah;62.06.05
9;Sanaman Mantikei;6209090;Sanaman Mantikei;62.06.06
10;Petak Malai;6209091;Petak Malai;62.06.12
11;Marikit;6209100;Marikit;62.06.07
12;Katingan Hulu;6209110;Katingan Hulu;62.06.08
13;Bukit Raya;6209111;Bukit Raya;62.06.13
