No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tinanggea;7405010;Tinanggea;74.05.01
2;Lalembuu;7405011;Lalembuu;74.05.12
3;Andoolo;7405020;Andoolo;74.05.03
4;Buke;7405021;Buke;74.05.17
5;Andoolo Barat;7405022;Andoolo Barat;74.05.25
6;Palangga;7405030;Palangga;74.05.04
7;Palangga Selatan;7405031;Palangga Selatan;74.05.14
8;Baito;7405032;Baito;74.05.20
9;Lainea;7405040;Lainea;74.05.06
10;Laeya;7405041;Laeya;74.05.19
11;Kolono;7405050;Kolono;74.05.09
12;Kolono Timur;7405051;Kolono Timur;74.05.23
13;Laonti;7405060;Laonti;74.05.11
14;Moramo;7405070;Moramo;74.05.10
15;Moramo Utara;7405071;Moramo Utara;74.05.16
16;Konda;7405080;Konda;74.05.07
17;Wolasi;7405081;Wolasi;74.05.18
18;Ranomeeto;7405090;Ranomeeto;74.05.08
19;Ranomeeto Barat;7405091;Ranomeeto Barat;74.05.22
20;Landono;7405100;Landono;74.05.05
21;Mowila;7405101;Mowila;74.05.15
22;Sabulakoa;7405102;Sabulakoa;74.05.24
23;Angata;7405110;Angata;74.05.02
24;Benua;7405111;Benua;74.05.13
25;Basala;7405112;Basala;74.05.21
