No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Mestong;1505010;Mestong;15.05.05
2;Sungai Bahar;1505011;Sungai Bahar;15.05.07
3;Bahar Selatan;1505012;Bahar Selatan;15.05.10
4;Bahar Utara;1505013;Bahar Utara;15.05.09
5;Kumpeh Ulu;1505020;Kumpeh Ulu;15.05.06
6;Sungai Gelam;1505021;Sungai Gelam;15.05.08
7;Kumpeh;1505030;Kumpeh;15.05.03
8;Maro Sebo;1505040;Maro Sebo;15.05.04
9;Taman Rajo;1505041;Taman Rajo;15.05.11
10;Taman Rajo;1505041;Taman Rajo;15.05.11
11;Jambi Luar Kota;1505050;Jambi Luar Kota;15.05.01
12;Sekernan;1505060;Sekernan;15.05.02
