No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sokan;6110010;Sokan;61.10.07
2;Tanah Pinoh;6110020;Tanah Pinoh;61.10.06
3;Tanah Pinoh Barat;6110021;Tanah Pinoh Barat;61.10.11
4;Sayan;6110030;Sayan;61.10.05
5;Belimbing;6110040;Belimbing;61.10.01
6;Belimbing Hulu;6110041;Belimbing Hulu;61.10.10
7;Nanga Pinoh;6110050;Nanga Pinoh;61.10.02
8;Pinoh Selatan;6110051;Pinoh Selatan;61.10.09
9;Pinoh Utara;6110052;Pinoh Utara;61.10.08
10;Ella Hilir;6110060;Ella Hilir;61.10.03
11;Menukung;6110070;Menukung;61.10.04
