No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Besuki;3504010;Besuki;35.04.15
2;Bandung;3504020;Bandung;35.04.17
3;Pakel;3504030;Pakel;35.04.18
4;Campur Darat;3504040;Campurdarat;35.04.16
5;Tanggung Gunung;3504050;Tanggunggunung;35.04.19
6;Kalidawir;3504060;Kalidawir;35.04.14
7;Pucang Laban;3504070;Pucanglaban;35.04.12
8;Rejotangan;3504080;Rejotangan;35.04.13
9;Ngunut;3504090;Ngunut;35.04.11
10;Sumbergempol;3504100;Sumbergempol;35.04.10
11;Boyolangu;3504110;Boyolangu;35.04.02
12;Tulungagung;3504120;Tulungagung;35.04.01
13;Kedungwaru;3504130;Kedungwaru;35.04.03
14;Ngantru;3504140;Ngantru;35.04.04
15;Karangrejo;3504150;Karangrejo;35.04.08
16;Kauman;3504160;Kauman;35.04.05
17;Gondang;3504170;Gondang;35.04.09
18;Pager Wojo;3504180;Pagerwojo;35.04.06
19;Sendang;3504190;Sendang;35.04.07
