No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pasimarannu;7301010;Pasimarannu;73.01.07
2;Pasilambena;7301011;Pasilambena;73.01.09
3;Pasimassunggu;7301020;Pasimasunggu;73.01.06
4;Takabonerate;7301021;Taka Bonerate;73.01.08
5;Pasimassunggu Timur;7301022;Pasimasunggu Timur;73.01.10
6;Bontosikuyu;7301030;Bontosikuyu;73.01.05
7;Bontoharu;7301040;Bontoharu;73.01.02
8;Benteng;7301041;Benteng;73.01.01
9;Bontomanai;7301042;Bontomanai;73.01.04
10;Bontomatene;7301050;Bontomatene;73.01.03
11;Buki;7301051;Buki;73.01.11
