No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Rangkui;1971010;Rangkui;19.71.04
2;Bukit Intan;1971020;Bukitintan;19.71.01
3;Girimaya;1971021;Girimaya;19.71.07
4;Pangkal Balam;1971030;Pangkal Balam;19.71.03
5;Gabek;1971031;Gabek;19.71.06
6;Taman Sari;1971040;Taman Sari;19.71.02
7;Gerunggang;1971041;Gerunggang;19.71.05
