No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Singkep Barat;2104010;Singkep Barat;21.04.04
2;Kepulauan Posek;2104011;Kepulauan Posek;21.04.10
3;Singkep;2104020;Singkep;21.04.01
4;Singkep Selatan;2104021;Singkep Selatan;21.04.09
5;Singkep Pesisir;2104022;Singkep Pesisir;21.04.06
6;Lingga;2104030;Lingga;21.04.02
7;Selayar;2104031;Selayar;21.04.08
8;Lingga Timur;2104032;Lingga Timur;21.04.07
9;Lingga Utara;2104040;Lingga Utara;21.04.05
10;Senayang;2104050;Senayang;21.04.03
