No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sosopan;1221010;Sosopan;12.21.01
2;Ulu Barumun;1221020;Ulu Barumun;12.21.06
3;Barumun;1221030;Barumun;12.21.07
4;Barumun Selatan;1221031;Barumun Selatan;12.21.10
5;Lubuk Barumun;1221040;Lubuk Barumun;12.21.04
6;Sosa;1221050;Sosa;12.21.08
7;Batang Lubu Sutam;1221060;Batang Lubu Sutam;12.21.09
8;Huta Raja Tinggi;1221070;Huta Raja Tinggi;12.21.05
9;Huristak;1221080;Huristak;12.21.03
10;Barumun Tengah;1221090;Barumun Tengah;12.21.02
11;Aek Nabara Barumun;1221091;Aek Nabara Barumun;12.21.11
12;Sihapas Barumun;1221092;Sihapas Barumun;12.21.12
