No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Halmahera Barat;8201;Kab. Halmahera Barat;82.01
2;Halmahera Tengah;8202;Kab. Halmahera Tengah;82.02
3;Kepulauan Sula;8203;Kab. Kepulauan Sula;82.05
4;Kepulauan Sula;8203;Kab. Kepulauan Sula;82.05
5;Halmahera Selatan;8204;Kab. Halmahera Selatan;82.04
6;Halmahera Utara;8205;Kab. Halmahera Utara;82.03
7;Halmahera Timur;8206;Kab. Halmahera Timur;82.06
8;Pulau Morotai;8207;Kab. Pulau Morotai;82.07
9;Pulau Taliabu;8208;Kab. Pulau Taliabu;82.08
10;Pulau Taliabu;8208;Kab. Pulau Taliabu;82.08
11;Ternate;8271;Kota Ternate;82.71
12;Tidore Kepulauan;8272;Kota Tidore Kepulauan;82.72
