No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pragaan;3529010;Pragaan;35.29.11
2;Bluto;3529020;Bluto;35.29.05
3;Saronggi;3529030;Saronggi;35.29.06
4;Giligenteng;3529040;Giliginting;35.29.08
5;Talango;3529050;Talango;35.29.04
6;Kalianget;3529060;Kalianget;35.29.02
7;Kota Sumenep;3529070;Kota Sumenep;35.29.01
8;Batuan;3529071;Batuan;35.29.26
9;Lenteng;3529080;Lenteng;35.29.07
10;Ganding;3529090;Ganding;35.29.10
11;Guluk Guluk;3529100;Guluk-guluk;35.29.09
12;Pasongsongan;3529110;Pasongsongan;35.29.13
13;Ambunten;3529120;Ambunten;35.29.12
14;Rubaru;3529130;Rubaru;35.29.15
15;Dasuk;3529140;Dasuk;35.29.14
16;Manding;3529150;Manding;35.29.03
17;Batuputih;3529160;Batuputih;35.29.17
18;Gapura;3529170;Gapura;35.29.19
19;Batang Batang;3529180;Batang Batang;35.29.16
20;Dungkek;3529190;Dungkek;35.29.18
21;Nonggunong;3529200;Nonggunong;35.29.21
22;Gayam;3529210;Gayam;35.29.20
23;Raas;3529220;"Ra""as";35.29.22
24;Sapeken;3529230;Sapeken;35.29.25
25;Arjasa;3529240;Arjasa;35.29.24
26;Kangayan;3529241;Kangayan;35.29.27
27;Masalembu;3529250;Masalembu;35.29.23
