No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Batang Onang;1220010;Batang Onang;12.20.07
2;Padang Bolak Julu;1220020;Padang Bolak Julu;12.20.05
3;Portibi;1220030;Portibi;12.20.06
4;Padang Bolak;1220040;Padang Bolak;12.20.04
5;Padang Bolak Tenggara;1220041;Padang Bolak Tenggara;12.20.10
6;Simangambat;1220050;Simangambat;12.20.08
7;Ujung Batu;1220051;Ujung Batu;12.20.12
8;Halongonan;1220060;Halongonan;12.20.03
9;Halongonan Timur;1220061;Halongonan Timur;12.20.11
10;Dolok;1220070;Dolok;12.20.02
11;Dolok Sigompulon;1220080;Dolok Sigompulon;12.20.01
12;Hulu Sihapas;1220090;Hulu Sihapas;12.20.09
