No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kandangserang;3326010;Kandangserang;33.26.01
2;Paninggaran;3326020;Paninggaran;33.26.02
3;Lebakbarang;3326030;Lebakbarang;33.26.03
4;Petungkriono;3326040;Petungkriyono;33.26.04
5;Talun;3326050;Talun;33.26.05
6;Doro;3326060;Doro;33.26.06
7;Karanganyar;3326070;Karanganyar;33.26.07
8;Kajen;3326080;Kajen;33.26.08
9;Kesesi;3326090;Kesesi;33.26.09
10;Sragi;3326100;Sragi;33.26.10
11;Siwalan;3326101;Siwalan;33.26.17
12;Bojong;3326110;Bojong;33.26.11
13;Wonopringgo;3326120;Wonopringgo;33.26.12
14;Kedungwuni;3326130;Kedungwuni;33.26.13
15;Karangdadap;3326131;Karangdadap;33.26.18
16;Buaran;3326140;Buaran;33.26.14
17;Tirto;3326150;Tirto;33.26.15
18;Wiradesa;3326160;Wiradesa;33.26.16
19;Wonokerto;3326161;Wonokerto;33.26.19
