No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kampar Kiri;1406010;Kampar Kiri;14.01.07
2;Kampar Kiri Hulu;1406011;Kampar Kiri Hulu;14.01.09
3;Kampar Kiri Hilir;1406012;Kampar Kiri Hilir;14.01.08
4;Gunung Sahilan;1406013;Gunung Sahilan;14.01.20
5;Kampar Kiri Tengah;1406014;Kampar Kiri Tengah;14.01.19
6;Xiii Koto Kampar;1406020;Xiii Koto Kampar;14.01.04
7;Koto Kampar Hulu;1406021;Koto Kampar Hulu;14.01.21
8;Kuok;1406030;Kuok;14.01.05
9;Salo;1406031;Salo;14.01.13
10;Tapung;1406040;Tapung;14.01.10
11;Tapung Hulu;1406041;Tapung Hulu;14.01.12
12;Tapung Hilir;1406042;Tapung Hilir;14.01.11
13;Bangkinang Kota;1406050;Bangkinang Kota;14.01.01
14;Bangkinang;1406051;Bangkinang;14.01.15
15;Kampar;1406060;Kampar;14.01.02
16;Kampa;1406061;Kampa;14.01.17
17;Rumbio Jaya;1406062;Rumbio Jaya;14.01.14
18;Kampar Utara;1406063;Kampar Utara;14.01.18
19;Tambang;1406070;Tambang;14.01.03
20;Siak Hulu;1406080;Siak Hulu;14.01.06
21;Perhentian Raja;1406081;Perhentian Raja;14.01.16
