No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Palaran;6472010;Palaran;64.72.01
2;Samarinda Ilir;6472020;Samarinda Ilir;64.72.04
3;Samarinda Kota;6472021;Samarinda Kota;64.72.09
4;Sambutan;6472022;Sambutan;64.72.07
5;Samarinda Seberang;6472030;Samarinda Seberang;64.72.02
6;Loa Janan Ilir;6472031;Loa Janan Ilir;64.72.10
7;Sungai Kunjang;6472040;Sungai Kunjang;64.72.06
8;Samarinda Ulu;6472050;Samarinda Ulu;64.72.03
9;Samarinda Utara;6472060;Samarinda Utara;64.72.05
10;Sungai Pinang;6472061;Sungai Pinang;64.72.08
