No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ciemas;3202010;Ciemas;32.02.22
2;Ciracap;3202020;Ciracap;32.02.26
3;Waluran;3202021;Waluran;32.02.20
4;Surade;3202030;Surade;32.02.24
5;Cibitung;3202031;Cibitung;32.02.25
6;Jampang Kulon;3202040;Jampangkulon;32.02.21
7;Cimanggu;3202041;Cimanggu;32.02.46
8;Kali Bunder;3202050;Kalibunder;32.02.23
9;Tegal Buleud;3202060;Tegalbuleud;32.02.45
10;Cidolog;3202070;Cidolog;32.02.43
11;Sagaranten;3202080;Sagaranten;32.02.41
12;Cidadap;3202081;Cidadap;32.02.44
13;Curugkembar;3202082;Curugkembar;32.02.42
14;Pabuaran;3202090;Pabuaran;32.02.37
15;Lengkong;3202100;Lengkong;32.02.07
16;Palabuhanratu;3202110;Palabuhanratu;32.02.01
17;Simpenan;3202111;Simpenan;32.02.02
18;Warung Kiara;3202120;Warungkiara;32.02.09
19;Bantargadung;3202121;Bantargadung;32.02.04
20;Jampang Tengah;3202130;Jampangtengah;32.02.08
21;Purabaya;3202131;Purabaya;32.02.38
22;Cikembar;3202140;Cikembar;32.02.10
23;Nyalindung;3202150;Nyalindung;32.02.39
24;Geger Bitung;3202160;Gegerbitung;32.02.40
25;Sukaraja;3202170;Sukaraja;32.02.33
26;Kebonpedes;3202171;Kebonpedes;32.02.34
27;Cireunghas;3202172;Cireunghas;32.02.35
28;Sukalarang;3202173;Sukalarang;32.02.36
29;Sukabumi;3202180;Sukabumi;32.02.32
30;Kadudampit;3202190;Kadudampit;32.02.30
31;Cisaat;3202200;Cisaat;32.02.29
32;Gunungguruh;3202201;Gunungguruh;32.02.27
33;Cibadak;3202210;Cibadak;32.02.11
34;Cicantayan;3202211;Cicantayan;32.02.28
35;Caringin;3202212;Caringin;32.02.31
36;Nagrak;3202220;Nagrak;32.02.12
37;Ciambar;3202221;Ciambar;32.02.47
38;Cicurug;3202230;Cicurug;32.02.16
39;Cidahu;3202240;Cidahu;32.02.17
40;Parakan Salak;3202250;Parakansalak;32.02.15
41;Parung Kuda;3202260;Parungkuda;32.02.13
42;Bojong Genteng;3202261;Bojonggenteng;32.02.14
43;Kalapa Nunggal;3202270;Kalapanunggal;32.02.18
44;Cikidang;3202280;Cikidang;32.02.06
45;Cisolok;3202290;Cisolok;32.02.05
46;Cikakak;3202291;Cikakak;32.02.03
47;Kabandungan;3202300;Kabandungan;32.02.19
