No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Silaut;1302011;Silaut;13.01.15
2;Lunang;1302012;Lunang;13.01.10
3;Basa Ampek Balai Tapan;1302020;Basa Ampek Balai Tapan;13.01.11
4;Ranah Ampek Hulu Tapan;1302021;Ranah Ampek Hulu Tapan;13.01.14
5;Pancung Soal;1302030;Pancung Soal;13.01.01
6;Airpura;1302031;Airpura;13.01.13
7;Linggo Sari Baganti;1302040;Linggo Sari Baganti;13.01.09
8;Ranah Pesisir;1302050;Ranah Pesisir;13.01.02
9;Lengayang;1302060;Lengayang;13.01.03
10;Sutera;1302070;Sutera;13.01.08
11;Batang Kapas;1302080;Batang Kapas;13.01.04
12;Iv Jurai;1302090;Iv Jurai;13.01.05
13;Bayang;1302100;Bayang;13.01.06
14;Iv Nagari Bayang Utara;1302101;Iv Nagari Bayang Utara;13.01.12
15;Koto Xi Tarusan;1302110;Koto Xi Tarusan;13.01.07
