No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sumur;3601010;Sumur;36.01.01
2;Cimanggu;3601020;Cimanggu;36.01.02
3;Cibaliung;3601030;Cibaliung;36.01.03
4;Cibitung;3601031;Cibitung;36.01.27
5;Cikeusik;3601040;Cikeusik;36.01.04
6;Cigeulis;3601050;Cigeulis;36.01.05
7;Panimbang;3601060;Panimbang;36.01.06
8;Sobang;3601061;Sobang;36.01.35
9;Munjul;3601070;Munjul;36.01.08
10;Angsana;3601071;Angsana;36.01.07
11;Sindangresmi;3601072;Sindangresmi;36.01.31
12;Picung;3601080;Picung;36.01.11
13;Bojong;3601090;Bojong;36.01.10
14;Saketi;3601100;Saketi;36.01.14
15;Cisata;3601101;Cisata;36.01.23
16;Pagelaran;3601110;Pagelaran;36.01.09
17;Patia;3601111;Patia;36.01.24
18;Sukaresmi;3601112;Sukaresmi;36.01.29
19;Labuan;3601120;Labuan;36.01.12
20;Carita;3601121;Carita;36.01.28
21;Jiput;3601130;Jiput;36.01.16
22;Cikedal;3601131;Cikedal;36.01.26
23;Menes;3601140;Menes;36.01.13
24;Pulosari;3601141;Pulosari;36.01.32
25;Mandalawangi;3601150;Mandalawangi;36.01.17
26;Cimanuk;3601160;Cimanuk;36.01.18
27;Cipeucang;3601161;Cipeucang;36.01.15
28;Banjar;3601170;Banjar;36.01.20
29;Kaduhejo;3601171;Kaduhejo;36.01.19
30;Mekarjaya;3601172;Mekarjaya;36.01.30
31;Pandeglang;3601180;Pandeglang;36.01.21
32;Majasari;3601181;Majasari;36.01.34
33;Cadasari;3601190;Cadasari;36.01.22
34;Karangtanjung;3601191;Karang Tanjung;36.01.25
35;Koroncong;3601192;Koroncong;36.01.33
