No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Majene;7601;Kab. Majene;76.05
2;Polewali Mandar;7602;Kab. Polewali Mandar;76.04
3;Mamasa;7603;Kab. Mamasa;76.03
4;Mamuju;7604;Kab. Mamuju;76.02
5;Mamuju;7604;Kab. Mamuju;76.02
6;Mamuju Utara;7605;Kab. Mamuju Utara;76.01
7;Mamuju Tengah;7606;Kab. Mamuju Tengah;76.06
8;Mamuju Tengah;7606;Kab. Mamuju Tengah;76.06
