No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Binuang;6305010;Binuang;63.05.01
2;Hatungun;6305011;Hatungun;63.05.12
3;Tapin Selatan;6305020;Tapin Selatan;63.05.02
4;Salam Babaris;6305021;Salam Babaris;63.05.11
5;Tapin Tengah;6305030;Tapin Tengah;63.05.03
6;Bungur;6305040;Bungur;63.05.09
7;Piani;6305050;Piani;63.05.08
8;Lokpaikat;6305060;Lokpaikat;63.05.10
9;Tapin Utara;6305070;Tapin Utara;63.05.04
10;Bakarangan;6305080;Bakarangan;63.05.07
11;Candi Laras Selatan;6305090;Candi Laras Selatan;63.05.05
12;Candi Laras Utara;6305100;Candi Laras Utara;63.05.06
