No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pipikoro;7210010;Pipikoro;72.10.07
2;Kulawi Selatan;7210020;Kulawi Selatan;72.10.06
3;Kulawi;7210030;Kulawi;72.10.05
4;Lindu;7210040;Lindu;72.10.04
5;Nokilalaki;7210050;Nokilalaki;72.10.03
6;Palolo;7210060;Palolo;72.10.02
7;Gumbasa;7210070;Gumbasa;72.10.08
8;Dolo Selatan;7210080;Dolo Selatan;72.10.09
9;Dolo Barat;7210090;Dolo Barat;72.10.11
10;Tanambulava;7210100;Tanambulava;72.10.10
11;Dolo;7210110;Dolo;72.10.12
12;Sigi Biromaru;7210120;Sigi Biromaru;72.10.01
13;Marawola;7210130;Marawola;72.10.14
14;Marawola Barat;7210140;Marawola Barat;72.10.15
15;Kinovaro;7210150;Kinovaro;72.10.13
