No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Semau;5303100;Semau;53.01.04
2;Semau Selatan;5303101;Semau Selatan;53.01.23
3;Kupang Barat;5303110;Kupang Barat;53.01.05
4;Nekamese;5303111;Nekamese;53.01.16
5;Kupang Tengah;5303120;Kupang Tengah;53.01.08
6;Taebenu;5303121;Taebenu;53.01.24
7;Amarasi;5303130;Amarasi;53.01.09
8;Amarasi Barat;5303131;Amarasi Barat;53.01.17
9;Amarasi Selatan;5303132;Amarasi Selatan;53.01.18
10;Amarasi Timur;5303133;Amarasi Timur;53.01.19
11;Kupang Timur;5303140;Kupang Timur;53.01.06
12;Amabi Oefeto Timur;5303141;Amabi Oefeto Timur;53.01.20
13;Amabi Oefeto;5303142;Amabi Oefeto;53.01.25
14;Sulamu;5303150;Sulamu;53.01.07
15;Fatuleu;5303160;Fatuleu;53.01.10
16;Fatuleu Tengah;5303161;Fatuleu Tengah;53.01.28
17;Fatuleu Barat;5303162;Fatuleu Barat;53.01.27
18;Takari;5303170;Takari;53.01.11
19;Amfoang Selatan;5303180;Amfoang Selatan;53.01.12
20;Amfoang Barat Daya;5303181;Amfoang Barat Daya;53.01.21
21;Amfoang Tengah;5303182;Amfoang Tengah;53.01.30
22;Amfoang Utara;5303190;Amfoang Utara;53.01.13
23;Amfoang Barat Laut;5303191;Amfoang Barat Laut;53.01.22
24;Amfoang Timur;5303192;Amfoang Timur;53.01.26
