No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Krayan Selatan;6504010;Krayan Selatan;65.03.07
2;Krayan Tengah;6504011;Krayan Tengah;65.03.17
3;Krayan;6504020;Krayan;65.03.05
4;Krayan Timur;6504021;Krayan Timur;65.03.18
5;Krayan Barat;6504022;Krayan Barat;65.03.19
6;Lumbis Ogong;6504030;Lumbis Ogong;65.03.15
7;Lumbis;6504040;Lumbis;65.03.04
8;Sembakung Atulai;6504050;Sembakung Atulai;65.03.16
9;Sembakung;6504060;Sembakung;65.03.03
10;Sebuku;6504070;Sebuku;65.03.06
11;Tulin Onsoi;6504080;Tulin Onsoi;65.03.14
12;Sei Menggaris;6504090;Sei Menggaris;65.03.13
13;Nunukan;6504100;Nunukan;65.03.02
14;Nunukan Selatan;6504110;Nunukan Selatan;65.03.09
15;Sebatik Barat;6504120;Sebatik Barat;65.03.08
16;Sebatik;6504130;Sebatik;65.03.01
17;Sebatik Timur;6504140;Sebatik Timur;65.03.10
18;Sebatik Tengah;6504150;Sebatik Tengah;65.03.12
19;Sebatik Utara;6504160;Sebatik Utara;65.03.11
