No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Aimere;5312010;Aimere;53.09.01
2;Jerebuu;5312011;Jerebuu;53.09.12
3;Inerie;5312012;Inerie;53.09.20
4;Bajawa;5312020;Bajawa;53.09.06
5;Golewa;5312030;Golewa;53.09.02
6;Golewa Selatan;5312031;Golewa Selatan;53.09.18
7;Golewa Barat;5312032;Golewa Barat;53.09.19
8;Bajawa Utara;5312070;Bajawa Utara;53.09.15
9;Soa;5312071;Soa;53.09.07
10;Riung;5312080;Riung;53.09.09
11;Riung Barat;5312081;Riung Barat;53.09.14
12;Wolomeze;5312082;Wolomeze;53.09.16
