No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Lengkiti;1601052;Lengkiti;16.01.28
2;Sosoh Buay Rayap;1601070;Sosoh Buay Rayap;16.01.07
3;Pengandonan;1601080;Pengandonan;16.01.08
4;Semidang Aji;1601081;Semidang Aji;16.01.21
5;Ulu Ogan;1601082;Ulu Ogan;16.01.20
6;Muara Jaya;1601083;Muara Jaya;16.01.31
7;Peninjauan;1601090;Peninjauan;16.01.09
8;Lubuk Batang;1601091;Lubuk Batang;16.01.22
9;Sinar Peninjauan;1601092;Sinar Peninjauan;16.01.29
10;Kedaton Peninjauan Raya;1601093;Kedaton Peninjauan Raya;16.01.32
11;Batu Raja Timur;1601130;Baturaja Timur;16.01.14
12;Lubuk Raja;1601131;Lubuk Raja;16.01.30
13;Batu Raja Barat;1601140;Baturaja Barat;16.01.13
