No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Lakea;7207010;Lakea;72.05.02
2;Biau;7207011;Biau;72.05.06
3;Karamat;7207012;Karamat;72.05.10
4;Momunu;7207020;Momunu;72.05.01
5;Tiloan;7207021;Tiloan;72.05.07
6;Bokat;7207030;Bokat;72.05.03
7;Bukal;7207031;Bukal;72.05.08
8;Bunobogu;7207040;Bunobogu;72.05.04
9;Gadung;7207041;Gadung;72.05.09
10;Paleleh;7207050;Paleleh;72.05.05
11;Paleleh Barat;7207051;Paleleh Barat;72.05.11
