No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Bontonompo;7306010;Bontonompo;73.06.01
2;Bontonompo Selatan;7306011;Bontonompo Selatan;73.06.16
3;Bajeng;7306020;Bajeng;73.06.02
4;Bajeng Barat;7306021;Bajeng Barat;73.06.18
5;Pallangga;7306030;Palangga;73.06.07
6;Barombong;7306031;Barombong;73.06.12
7;Somba Opu;7306040;Somba Upu;73.06.08
8;Bontomarannu;7306050;Bontomarannu;73.06.06
9;Pattallassang;7306051;Pattalasang;73.06.13
10;Parangloe;7306060;Parangloe;73.06.05
11;Manuju;7306061;Manuju;73.06.14
12;Tinggimoncong;7306070;Tinggimoncong;73.06.04
13;Tombolo Pao;7306071;Tombolopao;73.06.10
14;Parigi;7306072;Parigi;73.06.17
15;Bungaya;7306080;Bungaya;73.06.09
16;Bontolempangan;7306081;Bontolempangang;73.06.15
17;Tompobulu;7306090;Tompobullu;73.06.03
18;Biringbulu;7306091;Biringbulu;73.06.11
