No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Sambas;6101;Kab. Sambas;61.01
2;Bengkayang;6102;Kab. Bengkayang;61.07
3;Landak;6103;Kab. Landak;61.08
4;Mempawah;6104;Kab. Mempawah;61.02
5;Sanggau;6105;Kab. Sanggau;61.03
6;Ketapang;6106;Kab. Ketapang;61.04
7;Sintang;6107;Kab. Sintang;61.05
8;Kapuas Hulu;6108;Kab. Kapuas Hulu;61.06
9;Sekadau;6109;Kab. Sekadau;61.09
10;Melawi;6110;Kab. Melawi;61.10
11;Kayong Utara;6111;Kab. Kayong Utara;61.11
12;Kubu Raya;6112;Kab. Kubu Raya;61.12
13;Pontianak;6171;Kota Pontianak;61.71
14;Singkawang;6172;Kota Singkawang;61.72
