No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Maluku Tenggara Barat;8101;Kab Maluku Tenggara Barat;81.03
2;Maluku Tenggara;8102;Kab. Maluku Tenggara;81.02
3;Maluku Tengah;8103;Kab. Maluku Tengah;81.01
4;Buru;8104;Kab. Buru;81.04
5;Kepulauan Aru;8105;Kab. Kepulauan Aru;81.07
6;Seram Bagian Barat;8106;Kab. Seram Bagian Barat;81.06
7;Seram Bagian Timur;8107;Kab. Seram Bagian Timur;81.05
8;Maluku Barat Daya;8108;Kab. Maluku Barat Daya;81.08
9;Buru Selatan;8109;Kab. Buru Selatan;81.09
10;Ambon;8171;Kota Ambon;81.71
11;Tual;8172;Kota Tual;81.72
