No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Permata Intan;6213010;Permata Intan;62.12.04
2;Sungai Babuat;6213011;Sungai Babuat;62.12.08
3;Murung;6213020;Murung;62.12.01
4;Laung Tuhup;6213030;Laung Tuhup;62.12.03
5;Barito Tuhup Raya;6213031;Barito Tuhup Raya;62.12.06
6;Tanah Siang;6213040;Tanah Siang;62.12.02
7;Tanah Siang Selatan;6213041;Tanah Siang Selatan;62.12.07
8;Sumber Barito;6213050;Sumber Barito;62.12.05
9;Seribu Riam;6213051;Seribu Riam;62.12.09
10;Uut Murung;6213052;Uut Murung;62.12.10
