No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Setu;3216010;Setu;32.16.18
2;Serang Baru;3216021;Serang Baru;32.16.21
3;Cikarang Pusat;3216022;Cikarang Pusat;32.16.20
4;Cikarang Selatan;3216023;Cikarang Selatan;32.16.19
5;Cibarusah;3216030;Cibarusah;32.16.22
6;Bojongmangu;3216031;Bojongmangu;32.16.23
7;Cikarang Timur;3216041;Cikarang Timur;32.16.11
8;Kedungwaringin;3216050;Kedung Waringin;32.16.12
9;Cikarang Utara;3216061;Cikarang Utara;32.16.09
10;Karangbahagia;3216062;Karang Bahagia;32.16.10
11;Cibitung;3216070;Cibitung;32.16.07
12;Cikarang Barat;3216071;Cikarang Barat;32.16.08
13;Tambun Selatan;3216081;Tambun Selatan;32.16.06
14;Tambun Utara;3216082;Tambun Utara;32.16.05
15;Babelan;3216090;Babelan;32.16.02
16;Tarumajaya;3216100;Tarumajaya;32.16.01
17;Tambelang;3216110;Tambelang;32.16.04
18;Sukawangi;3216111;Sukawangi;32.16.03
19;Sukatani;3216120;Sukatani;32.16.15
20;Sukakarya;3216121;Sukakarya;32.16.14
21;Pebayuran;3216130;Pebayuran;32.16.13
22;Cabangbungin;3216140;Cabangbungin;32.16.16
23;Muara Gembong;3216150;Muaragembong;32.16.17
