No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kota Padang;1702020;Kota Padang;17.02.06
2;Sindang Beliti Ilir;1702021;Sindang Beliti Ilir;17.02.23
3;Padang Ulak Tanding;1702030;Padang Ulak Tanding;17.02.07
4;Sindang Kelingi;1702031;Sindang Kelingi;17.02.08
5;Bindu Riang;1702032;Binduriang;17.02.20
6;Sindang Beliti Ulu;1702033;Sindang Beliti Ulu;17.02.21
7;Sindang Dataran;1702034;Sindang Dataran;17.02.22
8;Curup;1702040;Curup;17.02.09
9;Bermani Ulu;1702041;Bermani Ulu;17.02.10
10;Selupu Rejang;1702042;Selupu Rejang;17.02.11
11;Curup Selatan;1702043;Curup Selatan;17.02.18
12;Curup Tengah;1702044;Curup Tengah;17.02.19
13;Bermani Ulu Raya;1702045;Bermani Ulu Raya;17.02.24
14;Curup Utara;1702046;Curup Utara;17.02.16
15;Curup Timur;1702047;Curup Timur;17.02.17
