No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Lawe Alas;1104010;Lawe Alas;11.02.01
2;Babul Rahmah;1104011;Babul Rahmah;11.02.11
3;Tanoh Alas;1104012;Tanoh Alas;11.02.15
4;Lawe Sigala-gala;1104020;Lawe Sigala-gala;11.02.02
5;Babul Makmur;1104021;Babul Makmur;11.02.06
6;Semadam;1104022;Semadam;11.02.10
7;Leuser;1104023;Leuser;11.02.16
8;Bambel;1104030;Bambel;11.02.03
9;Bukit Tusam;1104031;Bukit Tusam;11.02.09
10;Lawe Sumur;1104032;Lawe Sumur;11.02.14
11;Babussalam;1104040;Babussalam;11.02.04
12;Lawe Bulan;1104041;Lawe Bulan;11.02.08
13;Badar;1104050;Badar;11.02.05
14;Darul Hasanah;1104051;Darul Hasanah;11.02.07
15;Ketambe;1104052;Ketambe;11.02.12
16;Deleng Pokhkisen;1104053;Deleng Pokhkisen;11.02.13
