No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Simpang Tiga;1471020001;Simpang Tiga;14.71.07.1005
2;Tengkerang Selatan;1471020004;Tangkerang Selatan;14.71.07.1006
3;Tengkerang Utara;1471020007;Tangkerang Utara;14.71.07.1008
4;Tengkerang Labuai;1471020011;Tangkerang Labuai;14.71.07.1011
5;Air Dingin;1471020012;Airdingin;14.71.07.1012
