No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pracimantoro;3312010;Pracimantoro;33.12.01
2;Paranggupito;3312020;Paranggupito;33.12.24
3;Giritontro;3312030;Giritontro;33.12.02
4;Giriwoyo;3312040;Giriwoyo;33.12.03
5;Batuwarno;3312050;Batuwarno;33.12.04
6;Karangtengah;3312060;Karangtengah;33.12.23
7;Tirtomoyo;3312070;Tirtomoyo;33.12.05
8;Nguntoronadi;3312080;Nguntoronadi;33.12.06
9;Baturetno;3312090;Baturetno;33.12.07
10;Eromoko;3312100;Eromoko;33.12.08
11;Wuryantoro;3312110;Wuryantoro;33.12.09
12;Manyaran;3312120;Manyaran;33.12.10
13;Selogiri;3312130;Selogiri;33.12.11
14;Wonogiri;3312140;Wonogiri;33.12.12
15;Ngadirojo;3312150;Ngadirojo;33.12.13
16;Sidoharjo;3312160;Sidoharjo;33.12.14
17;Jatiroto;3312170;Jatiroto;33.12.15
18;Kismantoro;3312180;Kismantoro;33.12.16
19;Purwantoro;3312190;Purwantoro;33.12.17
20;Bulukerto;3312200;Bulukerto;33.12.18
21;Puhpelem;3312201;Puhpelem;33.12.25
22;Slogohimo;3312210;Slogohimo;33.12.19
23;Jatisrono;3312220;Jatisrono;33.12.20
24;Jatipurno;3312230;Jatipurno;33.12.21
25;Girimarto;3312240;Girimarto;33.12.22
