No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Linge;1106010;Linge;11.04.01
2;Atu Lintang;1106011;Atu Lintang;11.04.18
3;Jagong Jeget;1106012;Jagong Jeget;11.04.19
4;Bintang;1106020;Bintang;11.04.08
5;Lut Tawar;1106031;Laut Tawar;11.04.17
6;Kebayakan;1106032;Kebayakan;11.04.11
7;Pegasing;1106040;Pegasing;11.04.07
8;Bies;1106041;Bies;11.04.20
9;Bebesen;1106050;Bebesen;11.04.03
10;Kute Panang;1106051;Kute Panang;11.04.12
11;Silih Nara;1106060;Silih Nara;11.04.02
12;Ketol;1106061;Ketol;11.04.10
13;Celala;1106062;Celala;11.04.13
14;Rusip Antara;1106063;Rusip Antara;11.04.21
