No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Obi Selatan;8204010;Obi Selatan;82.04.05
2;Obi;8204020;Obi;82.04.06
3;Obi Barat;8204021;Obi Barat;82.04.28
4;Obi Timur;8204022;Obi Timur;82.04.29
5;Obi Utara;8204023;Obi Utara;82.04.30
6;Bacan;8204030;Bacan;82.04.08
7;Mandioli Selatan;8204031;Mandioli Selatan;82.04.19
8;Mandioli Utara;8204032;Mandioli Utara;82.04.20
9;Bacan Selatan;8204033;Bacan Selatan;82.04.17
10;Batang Lomang;8204034;Kepulauan Botanglomang;82.04.18
11;Bacan Timur;8204040;Bacan Timur;82.04.07
12;Bacan Timur Selatan;8204041;Bacan Timur Selatan;82.04.21
13;Bacan Timur Tengah;8204042;Bacan Timur Tengah;82.04.22
14;Bacan Barat;8204050;Bacan Barat;82.04.09
15;Kasiruta Barat;8204051;Kasiruta Barat;82.04.15
16;Kasiruta Timur;8204052;Kasiruta Timur;82.04.16
17;Bacan Barat Utara;8204053;Bacan Barat Utara;82.04.14
18;Kayoa;8204060;Kayoa;82.04.02
19;Kayoa Barat;8204061;Kayoa Barat;82.04.11
20;Kayoa Selatan;8204062;Kayoa Selatan;82.04.12
21;Kayoa Utara;8204063;Kayoa Utara;82.04.13
22;Pulau Makian;8204070;Pulau Makian;82.04.01
23;Makian Barat;8204071;Makian Barat;82.04.10
24;Gane Barat;8204080;Gane Barat;82.04.04
25;Gane Barat Selatan;8204081;Gane Barat Selatan;82.04.23
26;Gane Barat Utara;8204082;Gane Barat Utara;82.04.24
27;Kepulauan Joronga;8204083;Kepulauan Joronga;82.04.25
28;Gane Timur;8204090;Gane Timur;82.04.03
29;Gane Timur Tengah;8204091;Gane Timur Tengah;82.04.27
30;Gane Timur Selatan;8204092;Gane Timur Selatan;82.04.26
